ROC_AUC,PR_AUC,Precision,Recall,Latent_Dim
0.8804954500000001,0.713411539048737,1.0,0.338,2
0.9109775,0.7788815952151219,1.0,0.426,4
0.9367221,0.8403220142456618,1.0,0.428,8
0.9595404999999999,0.8941226851294118,1.0,0.431,16
